,Company,Ticker_1,Ticker_2,ESG score,ESG risk
5660,Home Invest Belgium SA,BRU,HOMI,20.9,Medium
5661,"Home Product Center Public Co., Ltd.",BKK,HMPRO,16.0,Low
5662,Home REIT Plc,LON,HOME,22.1,Medium
5663,HomeCo Daily Needs REIT,ASX,HDN,12.6,Low
5664,HomeEquity Bank,-,,31.7,High
5665,"HomeStreet, Inc.",NAS,HMST,25.0,Medium
5666,HomeToGo SE,ETR,HTG,14.7,Low
5667,"HomeTrust Bancshares, Inc.",NYS,HTB,35.3,High
5668,"Hon Hai Precision Industry Co., Ltd.",TAI,2317,10.6,Low
5669,"Honda Motor Co., Ltd.",TKS,7267,28.3,Medium
5670,"HONEYS Holdings Co., Ltd.",TKS,2792,19.6,Low
5671,Honeywell Automation India Ltd.,BOM,517174,22.2,Medium
5672,"Honeywell International, Inc.",NAS,HON,28.0,Medium
5673,Hong Fok Corp. Ltd.,SES,H30,18.9,Low
5674,Hong Kong Exchanges & Clearing Ltd.,HKG,388,17.8,Low
5675,"Hong Kong Technology Venture Co., Ltd.",HKG,1137,32.2,High
5676,Hong Kong Telecommunications (HKT) Ltd.,-,,23.6,Medium
5677,Hong Leong Bank Bhd.,KLS,5819,17.6,Low
5678,Hong Leong Finance Ltd.,SES,S41,25.7,Medium
5679,Hong Leong Financial Group Bhd.,KLS,1082,32.7,High
5680,Hong Leong Industries Bhd.,KLS,3301,33.7,High
5681,Hongbo Co. Ltd.,SHE,002229,12.7,Low
5682,"Hongfa Technology Co., Ltd.",SHG,600885,30.2,High
5683,Hongkong Land Holdings Ltd.,SES,H78,12.8,Low
5684,"Hongli Zhihui Group Co., Ltd.",SHE,300219,33.7,High
5685,"Hongrun Construction Group Co., Ltd.",SHE,002062,47.4,Severe
5686,"Hongta Securities Co., Ltd.",SHG,601236,33.3,High
5687,"Hongyuan Green Energy Co., Ltd.",SHG,603185,23.5,Medium
5688,Hooker Furnishings Corp.,NAS,HOFT,13.6,Low
5689,"Hoosiers Holdings Co., Ltd.",TKS,3284,27.8,Medium
5690,"Hope Bancorp, Inc.",NAS,HOPE,32.8,High
5691,Hopson Development Holdings Ltd.,HKG,754,26.9,Medium
